iteration,position,value
101,15,0.61535
101,21,0.59229
101,27,0.566
101,33,0.53815
101,39,0.50727
101,45,0.49347
101,51,0.47467
101,57,0.46772
101,63,0.45926
101,69,0.45758
101,75,0.45404
101,81,0.45117
101,87,0.44638
101,93,0.44845
101,99,0.45354
101,105,0.45555
101,111,0.45057
101,117,0.45079
101,123,0.46144
101,127,0.47375
108,3,0.67626
108,9,0.56153
108,15,0.5159
108,21,0.51508
108,27,0.51607
108,33,0.52502
108,39,0.53016
108,45,0.52011
108,51,0.5057
108,57,0.49307
108,63,0.47009
108,69,0.44473
108,75,0.41279
108,81,0.40863
108,87,0.41313
108,93,0.43069
108,99,0.45362
108,105,0.47407
108,111,0.48557
108,117,0.48638
108,123,0.48799
108,127,0.4996
115,3,0.78526
115,9,0.64758
115,15,0.56625
115,21,0.56452
115,27,0.60214
115,33,0.61489
115,39,0.63717
115,45,0.64113
115,51,0.61761
115,57,0.58221
115,63,0.52323
115,69,0.48932
115,75,0.45774
115,81,0.43329
115,87,0.43478
115,93,0.44961
115,99,0.48879
115,105,0.53402
115,111,0.55375
115,117,0.56183
115,123,0.55344
115,127,0.53812
122,3,0.56074
122,9,0.46454
122,15,0.42695
122,21,0.4607
122,27,0.53139
122,33,0.6142
122,39,0.65719
122,45,0.67083
122,51,0.65608
122,57,0.61572
122,63,0.59375
122,69,0.5742
122,75,0.5582
122,81,0.54041
122,87,0.53874
122,93,0.55868
122,99,0.58941
122,105,0.62491
122,111,0.60722
122,117,0.57669
122,123,0.57518
122,127,0.57025
129,3,0.62055
129,9,0.52185
129,15,0.49415
129,21,0.51695
129,27,0.58636
129,33,0.6343
129,39,0.6709
129,45,0.68504
129,51,0.68696
129,57,0.67962
129,63,0.66571
129,69,0.65486
129,75,0.65243
129,81,0.67113
129,87,0.70757
129,93,0.77181
129,99,0.83425
129,105,0.84295
129,111,0.80954
129,117,0.75581
129,123,0.69266
129,127,0.64342
136,3,0.71323
136,9,0.56747
136,15,0.50184
136,21,0.50393
136,27,0.52972
136,33,0.56044
136,39,0.59146
136,45,0.62086
136,51,0.61395
136,57,0.61111
136,63,0.58256
136,69,0.57478
136,75,0.58009
136,81,0.6078
136,87,0.66506
136,93,0.70962
136,99,0.74117
136,105,0.78547
136,111,0.76838
136,117,0.6548
136,123,0.55063
136,127,0.49318
143,3,0.84575
143,9,0.67937
143,15,0.59475
143,21,0.57474
143,27,0.59042
143,33,0.64636
143,39,0.69144
143,45,0.73689
143,51,0.75029
143,57,0.75425
143,63,0.76335
143,69,0.73764
143,75,0.74585
143,81,0.73543
143,87,0.72632
143,93,0.77939
143,99,0.84084
143,105,0.88594
143,111,0.92087
143,117,0.90272
143,123,0.87891
143,127,0.87048
150,3,0.72797
150,9,0.60487
150,15,0.55457
150,21,0.57928
150,27,0.61284
150,33,0.67215
150,39,0.72123
150,45,0.74629
150,51,0.75323
150,57,0.73611
150,63,0.73332
150,69,0.71908
150,75,0.69861
150,81,0.69495
150,87,0.69375
150,93,0.71884
150,99,0.74477
150,105,0.7991
150,111,0.77504
150,117,0.7107
150,123,0.66694
150,127,0.65634
157,3,0.63108
157,9,0.4985
157,15,0.48095
157,21,0.50102
157,27,0.55109
157,33,0.60293
157,39,0.64678
157,45,0.65677
157,51,0.65761
157,57,0.64089
157,63,0.62027
157,69,0.57946
157,75,0.56573
157,81,0.57502
157,87,0.61271
157,93,0.65437
157,99,0.70178
157,105,0.73466
157,111,0.71432
157,117,0.60502
157,123,0.49134
157,127,0.45793
164,3,0.68184
164,9,0.52069
164,15,0.45826
164,21,0.47116
164,27,0.54274
164,33,0.59974
164,39,0.64391
164,45,0.64937
164,51,0.65861
164,57,0.64394
164,63,0.60049
164,69,0.56378
164,75,0.54796
164,81,0.53094
164,87,0.56941
164,93,0.60519
164,99,0.6808
164,105,0.79528
164,111,0.81438
164,117,0.69995
164,123,0.53693
164,127,0.45548
171,3,0.70005
171,9,0.55344
171,15,0.50431
171,21,0.53212
171,27,0.56919
171,33,0.62536
171,39,0.64822
171,45,0.6779
171,51,0.67307
171,57,0.66223
171,63,0.64233
171,69,0.61101
171,75,0.56459
171,81,0.5231
171,87,0.50574
171,93,0.51079
171,99,0.53813
171,105,0.58206
171,111,0.62096
171,117,0.59707
171,123,0.53547
171,127,0.49232
178,3,0.69534
178,9,0.52236
178,15,0.45882
178,21,0.46391
178,27,0.53016
178,33,0.59921
178,39,0.6641
178,45,0.69308
178,51,0.73489
178,57,0.76284
178,63,0.79052
178,69,0.78236
178,75,0.80592
178,81,0.78476
178,87,0.78206
178,93,0.79372
178,99,0.82638
178,105,0.92487
178,111,1.01382
178,117,1.00932
178,123,0.9382
178,127,0.82847
185,3,0.58972
185,9,0.47222
185,15,0.44732
185,21,0.48133
185,27,0.53522
185,33,0.5862
185,39,0.65406
185,45,0.69209
185,51,0.68963
185,57,0.66977
185,63,0.64996
185,69,0.60949
185,75,0.5816
185,81,0.56563
185,87,0.54876
185,93,0.54167
185,99,0.5697
185,105,0.59916
185,111,0.55726
185,117,0.49422
185,123,0.42969
185,127,0.41083
192,3,0.67804
192,9,0.53071
192,15,0.46776
192,21,0.48136
192,27,0.52983
192,33,0.5778
192,39,0.60427
192,45,0.62769
192,51,0.6366
192,57,0.61569
192,63,0.58567
192,69,0.54098
192,75,0.49402
192,81,0.48087
192,87,0.46318
192,93,0.46232
192,99,0.47253
192,105,0.50751
192,111,0.52208
192,117,0.50497
192,123,0.48631
192,127,0.49523
199,3,0.61112
199,9,0.48269
199,15,0.4497
199,21,0.47417
199,27,0.5228
199,33,0.57039
199,39,0.62452
199,45,0.64877
199,51,0.65238
199,57,0.64832
199,63,0.63448
199,69,0.62162
