iteration,s0,s1,s2,s3
362,0.51392,0.48193,0.49548,0.50195
365,0.53577,0.62634,0.53174,0.60242
367,0.50281,0.48267,0.49207,0.50781
370,0.52002,0.45483,0.48596,0.58264
372,0.48596,0.50183,0.55103,0.55676
375,0.51196,0.54724,0.59473,0.53979
377,0.47388,0.56677,0.52161,0.56689
380,0.4884,0.6073,0.47998,0.55957
382,0.48718,0.56189,0.48315,0.5575
385,0.48865,0.57239,0.55444,0.61877
387,0.51636,0.49182,0.55432,0.58594
390,0.56311,0.55603,0.55579,0.56677
392,0.5365,0.49341,0.54883,0.57239
395,0.4873,0.44324,0.54504,0.59009
397,0.48669,0.56616,0.52197,0.47888
399,0.5105,0.54761,0.52222,0.59277
