iteration,position,value
101,15,0.27139
101,21,0.27772
101,27,0.26711
101,33,0.25428
101,39,0.27158
101,45,0.27976
101,51,0.29799
101,57,0.30897
101,63,0.31975
101,69,0.33222
101,75,0.34859
101,81,0.33352
101,87,0.35807
101,93,0.36589
101,99,0.36216
101,105,0.36905
101,111,0.38802
101,117,0.39583
101,123,0.40699
101,127,0.39453
108,3,0.40011
108,9,0.30841
108,15,0.3045
108,21,0.28795
108,27,0.2606
108,33,0.25167
108,39,0.24442
108,45,0.25428
108,51,0.26023
108,57,0.24888
108,63,0.26376
108,69,0.26563
108,75,0.29688
108,81,0.29985
108,87,0.30971
108,93,0.32106
108,99,0.32571
108,105,0.34635
108,111,0.34784
108,117,0.36068
108,123,0.36272
108,127,0.36942
115,3,0.37872
115,9,0.30004
115,15,0.29371
115,21,0.29799
115,27,0.27139
115,33,0.24963
115,39,0.23233
115,45,0.22842
115,51,0.22489
115,57,0.22619
115,63,0.24163
115,69,0.23884
115,75,0.2593
115,81,0.2859
115,87,0.28813
115,93,0.28776
115,99,0.2978
115,105,0.29911
115,111,0.29464
115,117,0.28274
115,123,0.29743
115,127,0.31418
122,3,0.43136
122,9,0.31492
122,15,0.32478
122,21,0.31789
122,27,0.26916
122,33,0.22954
122,39,0.20945
122,45,0.18769
122,51,0.18155
122,57,0.18434
122,63,0.19438
122,69,0.2221
122,75,0.24182
122,81,0.25353
122,87,0.26804
122,93,0.2779
122,99,0.2753
122,105,0.28999
122,111,0.31529
122,117,0.33575
122,123,0.35156
122,127,0.35603
129,3,0.40848
129,9,0.30952
129,15,0.30041
129,21,0.29762
129,27,0.26637
129,33,0.22619
129,39,0.20963
129,45,0.19178
129,51,0.19754
129,57,0.19978
129,63,0.19885
129,69,0.19996
129,75,0.20629
129,81,0.21801
129,87,0.22898
129,93,0.22545
129,99,0.22898
129,105,0.24702
129,111,0.26339
129,117,0.30152
129,123,0.32589
129,127,0.33482
136,3,0.38783
136,9,0.30078
136,15,0.2885
136,21,0.29409
136,27,0.26655
136,33,0.24479
136,39,0.21019
136,45,0.20294
136,51,0.19866
136,57,0.19271
136,63,0.20257
136,69,0.21298
136,75,0.22973
136,81,0.25521
136,87,0.25595
136,93,0.27288
136,99,0.28069
136,105,0.27827
136,111,0.30301
136,117,0.34263
136,123,0.35993
136,127,0.39955
143,3,0.36496
143,9,0.3045
143,15,0.27511
143,21,0.27362
143,27,0.2673
143,33,0.24572
143,39,0.20089
143,45,0.19327
143,51,0.19178
143,57,0.18992
143,63,0.19457
143,69,0.20387
143,75,0.21838
143,81,0.22824
143,87,0.22489
143,93,0.22507
143,99,0.22247
143,105,0.22098
143,111,0.22117
143,117,0.22917
143,123,0.2301
143,127,0.24944
150,3,0.38709
150,9,0.29818
150,15,0.27437
150,21,0.28274
150,27,0.26135
150,33,0.23679
150,39,0.2061
150,45,0.18601
150,51,0.18397
150,57,0.18824
150,63,0.18583
150,69,0.19159
150,75,0.21131
150,81,0.21745
150,87,0.22061
150,93,0.22284
150,99,0.22042
150,105,0.21931
150,111,0.21801
150,117,0.24498
150,123,0.25986
150,127,0.27009
157,3,0.41815
157,9,0.3045
157,15,0.30301
157,21,0.31176
157,27,0.25911
157,33,0.21763
157,39,0.19178
157,45,0.18731
157,51,0.18099
157,57,0.17448
157,63,0.18192
157,69,0.19103
157,75,0.19996
157,81,0.20759
157,87,0.21243
157,93,0.2208
157,99,0.23326
157,105,0.23865
157,111,0.25725
157,117,0.27381
157,123,0.29408
157,127,0.30915
164,3,0.40476
164,9,0.31994
164,15,0.29074
164,21,0.29297
164,27,0.25837
164,33,0.22135
164,39,0.18955
164,45,0.1795
164,51,0.17876
164,57,0.17318
164,63,0.18806
164,69,0.19866
164,75,0.21484
164,81,0.23456
164,87,0.2407
164,93,0.25837
164,99,0.25837
164,105,0.25484
164,111,0.26097
164,117,0.28144
164,123,0.31845
164,127,0.31975
171,3,0.39025
171,9,0.30041
171,15,0.29148
171,21,0.27809
171,27,0.23996
171,33,0.21057
171,39,0.18917
171,45,0.17615
171,51,0.18862
171,57,0.18378
171,63,0.18043
171,69,0.19178
171,75,0.20145
171,81,0.21894
171,87,0.23456
171,93,0.24461
171,99,0.23977
171,105,0.24553
171,111,0.25446
171,117,0.27344
171,123,0.2833
171,127,0.30692
178,3,0.39211
178,9,0.31399
178,15,0.29632
178,21,0.30246
178,27,0.25558
178,33,0.19829
178,39,0.18192
178,45,0.16927
178,51,0.17057
178,57,0.16834
178,63,0.17206
178,69,0.18043
178,75,0.18006
178,81,0.1955
178,87,0.20368
178,93,0.20554
178,99,0.22526
178,105,0.21559
178,111,0.21968
178,117,0.23884
178,123,0.25279
178,127,0.25558
185,3,0.42987
185,9,0.30711
185,15,0.31231
185,21,0.29539
185,27,0.24126
185,33,0.21875
185,39,0.17504
185,45,0.1782
185,51,0.17987
185,57,0.18229
185,63,0.19196
185,69,0.20722
185,75,0.20294
185,81,0.21838
185,87,0.22712
185,93,0.24591
185,99,0.24256
185,105,0.2487
185,111,0.25874
185,117,0.28051
185,123,0.30041
185,127,0.30022
192,3,0.39527
192,9,0.30934
192,15,0.30078
192,21,0.29185
192,27,0.26284
192,33,0.22098
192,39,0.1901
192,45,0.18917
192,51,0.17615
192,57,0.19159
192,63,0.20201
192,69,0.20592
192,75,0.21949
192,81,0.23084
192,87,0.23568
192,93,0.23716
192,99,0.24554
192,105,0.24609
192,111,0.25577
192,117,0.27139
192,123,0.27995
192,127,0.28013
199,3,0.42057
199,9,0.3125
199,15,0.31603
199,21,0.28404
199,27,0.24423
199,33,0.20164
199,39,0.21205
199,45,0.17541
199,51,0.19103
199,57,0.18843
199,63,0.18694
199,69,0.19494
199,75,0.19606
199,81,0.19736
199,87,0.19029
199,93,0.19289
199,99,0.20368
199,105,0.21131
199,111,0.21131
199,117,0.22005
199,123,0.23531
199,127,0.23437
206,3,0.39862
206,9,0.30841
206,15,0.3192
206,21,0.2885
206,27,0.23847
206,33,0.19903
206,39,0.18955
206,45,0.17336
206,51,0.17671
206,57,0.17913
206,63,0.1782
206,69,0.18322
206,75,0.1795
206,81,0.18843
206,87,0.19345
206,93,0.19661
206,99,0.18787
206,105,0.19383
206,111,0.20647
206,117,0.22024
206,123,0.24144
206,127,0.25614
213,3,0.43304
213,9,0.31882
213,15,0.31492
213,21,0.30339
213,27,0.23716
213,33,0.20517
213,39,0.18173
213,45,0.17001
213,51,0.16946
213,57,0.18304
213,63,0.19252
213,69,0.19196
213,75,0.18843
213,81,0.18787
213,87,0.20312
213,93,0.19829
213,99,0.1955
213,105,0.2061
213,111,0.21075
213,117,0.22824
213,123,0.24033
213,127,0.26897
220,3,0.45554
220,9,0.30971
220,15,0.33445
220,21,0.29743
220,27,0.24647
220,33,0.21094
220,39,0.19103
220,45,0.19252
220,51,0.1795
220,57,0.18211
220,63,0.17783
220,69,0.1849
220,75,0.18992
220,81,0.18471
220,87,0.19122
220,93,0.19382
220,99,0.2115
220,105,0.19847
220,111,0.21559
220,117,0.24926
220,123,0.30208
220,127,0.33036
227,3,0.4202
227,9,0.30208
227,15,0.31771
227,21,0.29911
227,27,0.23438
227,33,0.21131
227,39,0.18955
227,45,0.18192
227,51,0.17095
227,57,0.18229
227,63,0.1836
227,69,0.18564
227,75,0.18899
227,81,0.19048
227,87,0.20517
227,93,0.20164
227,99,0.21038
227,105,0.20703
227,111,0.22377
227,117,0.25353
227,123,0.28999
227,127,0.31194
234,3,0.4083
234,9,0.29371
234,15,0.31306
234,21,0.29353
234,27,0.24702
234,33,0.20647
234,39,0.1862
234,45,0.18248
234,51,0.18099
234,57,0.18006
234,63,0.17932
234,69,0.18955
234,75,0.18713
234,81,0.18508
234,87,0.18824
234,93,0.20815
234,99,0.21131
234,105,0.21336
234,111,0.22321
234,117,0.24442
234,123,0.27679
234,127,0.29911
241,3,0.39695
241,9,0.30097
241,15,0.31176
241,21,0.29632
241,27,0.24516
241,33,0.19903
241,39,0.19308
241,45,0.17913
241,51,0.17783
241,57,0.19178
241,63,0.18657
241,69,0.18769
241,75,0.19401
241,81,0.20257
241,87,0.19848
241,93,0.21298
241,99,0.22117
241,105,0.22675
241,111,0.24405
241,117,0.27734
241,123,0.30971
241,127,0.34598
248,3,0.40792
248,9,0.31176
248,15,0.32571
248,21,0.29353
248,27,0.22433
248,33,0.20108
248,39,0.18211
248,45,0.18192
248,51,0.17485
248,57,0.18787
248,63,0.17653
248,69,0.19289
248,75,0.18787
248,81,0.18099
248,87,0.17634
248,93,0.18434
248,99,0.18787
248,105,0.19568
248,111,0.20443
248,117,0.22656
248,123,0.27065
248,127,0.28516
255,3,0.39453
255,9,0.30208
255,15,0.32664
255,21,0.29092
255,27,0.24219
255,33,0.19382
255,39,0.18713
255,45,0.17932
255,51,0.17262
255,57,0.17467
255,63,0.1901
255,69,0.18638
255,75,0.19215
255,81,0.19234
255,87,0.19959
255,93,0.20666
255,99,0.20982
255,105,0.21187
255,111,0.21949
255,117,0.25242
255,123,0.2846
255,127,0.32366
262,3,0.39695
262,9,0.29706
262,15,0.31659
262,21,0.2952
262,27,0.23084
262,33,0.1981
262,39,0.18843
262,45,0.17429
262,51,0.18062
262,57,0.16685
262,63,0.17429
262,69,0.18806
262,75,0.1955
262,81,0.19866
262,87,0.19922
262,93,0.20201
262,99,0.20071
262,105,0.2154
262,111,0.23661
262,117,0.25595
262,123,0.28739
262,127,0.3231
269,3,0.40569
269,9,0.29799
269,15,0.32422
269,21,0.28348
269,27,0.2353
269,33,0.19978
269,39,0.19141
269,45,0.18545
269,51,0.18787
269,57,0.18508
269,63,0.19345
269,69,0.19513
269,75,0.19773
269,81,0.20982
269,87,0.22247
269,93,0.20815
269,99,0.22228
269,105,0.23289
269,111,0.2314
269,117,0.24609
269,123,0.28144
269,127,0.31418
276,3,0.40662
276,9,0.29483
276,15,0.31994
276,21,0.30822
276,27,0.25186
276,33,0.21633
276,39,0.19922
276,45,0.19885
276,51,0.18862
276,57,0.1901
276,63,0.19215
276,69,0.21912
276,75,0.20033
276,81,0.21298
276,87,0.21875
276,93,0.23568
276,99,0.24014
276,105,0.25595
276,111,0.26618
276,117,0.27623
276,123,0.30469
276,127,0.34208
283,3,0.42262
283,9,0.30153
283,15,0.31994
283,21,0.30785
283,27,0.24535
283,33,0.20703
283,39,0.19661
283,45,0.20182
283,51,0.19271
283,57,0.18992
283,63,0.1942
283,69,0.21391
283,75,0.19271
283,81,0.21336
283,87,0.21038
283,93,0.23549
283,99,0.22377
283,105,0.22638
283,111,0.22731
283,117,0.24591
283,123,0.2846
283,127,0.31138
290,3,0.42783
290,9,0.30636
290,15,0.32719
290,21,0.29185
290,27,0.24237
290,33,0.21484
290,39,0.1862
290,45,0.18657
290,51,0.19327
290,57,0.17336
290,63,0.19866
290,69,0.20554
290,75,0.20833
290,81,0.21298
290,87,0.2301
290,93,0.22414
290,99,0.23084
290,105,0.23958
290,111,0.24926
290,117,0.26097
290,123,0.27641
290,127,0.29967
297,3,0.44383
297,9,0.29743
297,15,0.32534
297,21,0.30543
297,27,0.25093
297,33,0.21633
297,39,0.20219
297,45,0.21112
297,51,0.19513
297,57,0.19662
297,63,0.20294
297,69,0.19643
297,75,0.20313
297,81,0.20908
297,87,0.21503
297,93,0.22377
297,99,0.23289
297,105,0.23996
297,111,0.23438
297,117,0.24386
297,123,0.27139
297,127,0.28404
304,3,0.41499
304,9,0.2926
304,15,0.2926
304,21,0.2779
304,27,0.2487
304,33,0.21298
304,39,0.19606
304,45,0.19382
304,51,0.18155
304,57,0.19327
304,63,0.19513
304,69,0.20424
304,75,0.20219
304,81,0.2048
304,87,0.21112
304,93,0.21875
304,99,0.21968
304,105,0.21968
304,111,0.23363
304,117,0.24684
304,123,0.28478
304,127,0.30246
311,3,0.39509
311,9,0.30841
311,15,0.30766
311,21,0.28367
311,27,0.24907
311,33,0.20926
311,39,0.19959
311,45,0.20145
311,51,0.19364
311,57,0.2061
311,63,0.20461
311,69,0.21317
311,75,0.21057
311,81,0.22173
311,87,0.21838
311,93,0.24051
311,99,0.23791
311,105,0.22935
311,111,0.25223
311,117,0.27009
311,123,0.31417
311,127,0.32701
318,3,0.40811
318,9,0.28981
318,15,0.30525
318,21,0.29278
318,27,0.23977
318,33,0.20591
318,39,0.18955
318,45,0.18806
318,51,0.18452
318,57,0.19513
318,63,0.20052
318,69,0.20238
318,75,0.21391
318,81,0.21001
318,87,0.21987
318,93,0.22731
318,99,0.24089
318,105,0.23884
318,111,0.2301
318,117,0.2647
318,123,0.27641
318,127,0.29297
325,3,0.4189
325,9,0.29855
325,15,0.3231
325,21,0.29836
325,27,0.24814
325,33,0.21131
325,39,0.19699
325,45,0.19178
325,51,0.19643
325,57,0.18508
325,63,0.19383
325,69,0.1955
325,75,0.19922
325,81,0.20926
325,87,0.21429
325,93,0.20908
325,99,0.21949
325,105,0.22638
325,111,0.24423
325,117,0.25353
325,123,0.31157
325,127,0.31306
332,3,0.38505
332,9,0.28962
332,15,0.30078
332,21,0.26953
332,27,0.2394
332,33,0.22917
332,39,0.1942
332,45,0.18192
332,51,0.18322
332,57,0.18564
332,63,0.18973
332,69,0.19252
332,75,0.20368
332,81,0.20647
332,87,0.20796
332,93,0.21726
332,99,0.21745
332,105,0.21763
332,111,0.22935
332,117,0.24237
332,123,0.26135
332,127,0.27679
339,3,0.39081
339,9,0.28478
339,15,0.29446
339,21,0.29316
339,27,0.2526
339,33,0.21782
339,39,0.18955
339,45,0.18322
339,51,0.1875
339,57,0.18731
339,63,0.18973
339,69,0.18824
339,75,0.19364
339,81,0.19587
339,87,0.18992
339,93,0.19661
339,99,0.19717
339,105,0.21819
339,111,0.21801
339,117,0.22898
339,123,0.26135
339,127,0.25893
346,3,0.39397
346,9,0.29408
346,15,0.29818
346,21,0.28274
346,27,0.24089
346,33,0.20275
346,39,0.19122
346,45,0.1862
346,51,0.18322
346,57,0.18917
346,63,0.20071
346,69,0.21205
346,75,0.21019
346,81,0.21038
346,87,0.21149
346,93,0.21243
346,99,0.22656
346,105,0.21745
346,111,0.21484
346,117,0.24349
346,123,0.25298
346,127,0.26953
353,3,0.40067
353,9,0.30599
353,15,0.30655
353,21,0.274
353,27,0.23363
353,33,0.19475
353,39,0.18955
353,45,0.18787
353,51,0.18285
353,57,0.18713
353,63,0.19755
353,69,0.19568
353,75,0.19587
353,81,0.19494
353,87,0.19903
353,93,0.2035
353,99,0.21224
353,105,0.22712
353,111,0.25019
353,117,0.26488
353,123,0.31269
353,127,0.32366
360,3,0.4016
360,9,0.29613
360,15,0.29464
360,21,0.28664
360,27,0.2301
360,33,0.20852
360,39,0.19606
360,45,0.18025
360,51,0.18006
360,57,0.18545
360,63,0.18434
360,69,0.19271
360,75,0.18657
360,81,0.19271
360,87,0.18769
360,93,0.18434
360,99,0.19885
360,105,0.1981
360,111,0.21391
360,117,0.22954
360,123,0.25781
360,127,0.27456
367,3,0.4269
367,9,0.30376
367,15,0.3218
367,21,0.28739
367,27,0.24014
367,33,0.20685
367,39,0.1888
367,45,0.18397
367,51,0.1795
367,57,0.17634
367,63,0.1901
367,69,0.19494
367,75,0.20182
367,81,0.20461
367,87,0.20461
367,93,0.19829
367,99,0.20852
367,105,0.20703
367,111,0.22731
367,117,0.25279
367,123,0.27269
367,127,0.29688
374,3,0.39937
374,9,0.28962
374,15,0.30785
374,21,0.26842
374,27,0.25391
374,33,0.20257
374,39,0.18862
374,45,0.18341
374,51,0.18694
374,57,0.18322
374,63,0.19457
374,69,0.19029
374,75,0.18508
374,81,0.18601
374,87,0.18415
374,93,0.18824
374,99,0.19141
374,105,0.18657
374,111,0.20145
374,117,0.21782
374,123,0.22824
374,127,0.25
381,3,0.40234
381,9,0.29092
381,15,0.30934
381,21,0.27753
381,27,0.23438
381,33,0.21112
381,39,0.19364
381,45,0.17857
381,51,0.17615
381,57,0.17764
381,63,0.18211
381,69,0.18471
381,75,0.18601
381,81,0.18583
381,87,0.17429
381,93,0.18638
381,99,0.19438
381,105,0.19327
381,111,0.19085
381,117,0.21819
381,123,0.23791
381,127,0.25558
388,3,0.39881
