batches,total,value,policy,value_prefix,simsiam
19680,-0.14489,1.83007,0.08305,0.31402,-0.49973
19872,-0.1379,1.74142,0.10845,0.30827,-0.49498
20000,-0.09874,1.81328,0.13335,0.30724,-0.49632
20192,-0.11799,1.7688,0.13222,0.31947,-0.50594
20320,1.16974,2.15714,1.02082,0.61412,-0.50224
20512,-0.06424,1.84427,0.17835,0.32505,-0.51435
20640,-0.13785,1.67089,0.12246,0.31056,-0.4943
20832,-0.12589,1.76339,0.13806,0.31731,-0.51105
20960,-0.13354,1.81351,0.1353,0.32332,-0.52277
21152,-0.08818,1.84918,0.12998,0.30966,-0.49506
21280,-0.15696,1.60436,0.1286,0.31336,-0.50001
21472,-0.15448,1.68506,0.1331,0.31084,-0.50984
21600,-0.11088,1.82343,0.13147,0.31157,-0.50488
21792,-0.14647,1.66276,0.12651,0.30913,-0.4989
21920,-0.16039,1.80434,0.13427,0.32643,-0.53609
22112,-0.1299,1.94113,0.12193,0.32768,-0.5324
22240,-0.13649,1.77937,0.13856,0.32492,-0.52241
22432,0.06882,1.92111,0.38669,0.35141,-0.57478
22560,-0.2019,1.66961,0.17093,0.34912,-0.56968
22752,0.4832,2.06232,0.77983,0.36631,-0.58926
22880,0.17973,2.04416,0.46039,0.35845,-0.57508
23072,-0.02524,1.98229,0.30396,0.36237,-0.59357
23200,0.41513,2.84633,0.506,0.35749,-0.57997
23392,-0.15256,1.96678,0.16871,0.36169,-0.58732
23520,0.18904,2.06582,0.51,0.36997,-0.60369
23712,-0.17024,1.82299,0.20032,0.36875,-0.59753
23840,-0.18955,1.84328,0.15444,0.36118,-0.583
24032,-0.07179,2.09648,0.22829,0.37048,-0.59734
24160,0.03989,2.26231,0.24334,0.39049,-0.57976
24352,0.12414,1.90514,0.44425,0.36303,-0.57971
24480,-0.10745,1.94904,0.20968,0.36163,-0.58301
24672,-0.12985,1.92733,0.19717,0.36415,-0.5865
24800,-0.16366,1.92272,0.177,0.37527,-0.59831
24992,-0.14842,2.03184,0.15915,0.37373,-0.59463
25120,0.05248,1.94812,0.38022,0.36733,-0.59105
25312,0.03197,2.08005,0.33659,0.3783,-0.60147
25440,-0.14437,1.93636,0.17671,0.36551,-0.58534
25568,0.00308,2.59085,0.17014,0.37317,-0.59397
