iteration,s0,s1,s2,s3
360,0.32385,0.34351,0.28821,0.37817
362,0.3269,0.33484,0.30383,0.37439
365,0.36365,0.31738,0.32239,0.40125
367,0.29321,0.31921,0.33057,0.41858
370,0.32056,0.3324,0.28125,0.39038
372,0.32861,0.34229,0.29309,0.43054
375,0.30518,0.35461,0.28162,0.37524
377,0.31836,0.30347,0.31409,0.42737
380,0.32898,0.34375,0.32471,0.38953
382,0.3136,0.3302,0.26306,0.41528
385,0.29626,0.32959,0.29028,0.38745
387,0.30652,0.35278,0.29602,0.39905
390,0.31921,0.39624,0.27368,0.39807
392,0.31262,0.40027,0.28186,0.37671
395,0.31909,0.37012,0.28943,0.39551
397,0.30725,0.34314,0.29224,0.39453
399,0.30188,0.3584,0.30298,0.42371
