iteration,position,value
43,21,0.62543
43,27,0.64323
43,33,0.6441
43,39,0.63368
43,45,0.63845
43,51,0.6263
43,57,0.64019
43,63,0.62457
43,69,0.62413
43,75,0.63932
43,81,0.63845
43,87,0.62413
43,93,0.60851
43,99,0.63715
43,105,0.60677
43,111,0.62891
43,117,0.61328
43,123,0.62934
43,127,0.6289
46,3,0.72656
46,9,0.648
46,15,0.66319
46,21,0.66146
46,27,0.64236
46,33,0.6684
46,39,0.6684
46,45,0.65842
46,51,0.66753
46,57,0.65668
46,63,0.6467
46,69,0.64019
46,75,0.65799
46,81,0.66406
46,87,0.66276
46,93,0.66059
46,99,0.6658
46,105,0.67491
46,111,0.67361
46,117,0.6684
46,123,0.67144
46,127,0.67187
49,3,0.69184
49,9,0.57248
49,15,0.61545
49,21,0.61719
49,27,0.61154
49,33,0.58637
49,39,0.59505
49,45,0.60156
49,51,0.60677
49,57,0.58594
49,63,0.5842
49,69,0.57596
49,75,0.56033
49,81,0.602
49,87,0.5829
49,93,0.5651
49,99,0.57161
49,105,0.60764
49,111,0.59462
49,117,0.56727
49,123,0.57639
49,127,0.59505
52,3,0.73351
52,9,0.6237
52,15,0.63498
52,21,0.62413
52,27,0.60503
52,33,0.59809
52,39,0.56293
52,45,0.56467
52,51,0.54601
52,57,0.54557
52,63,0.57248
52,69,0.56597
52,75,0.55599
52,81,0.53429
52,87,0.5421
52,93,0.53819
52,99,0.54601
52,105,0.55599
52,111,0.56901
52,117,0.54427
52,123,0.56163
52,127,0.54427
55,3,0.70877
55,9,0.59332
55,15,0.68576
55,21,0.70616
55,27,0.70833
55,33,0.67101
55,39,0.67057
55,45,0.67622
55,51,0.68316
55,57,0.69575
55,63,0.7053
55,69,0.71788
55,75,0.71311
55,81,0.72396
55,87,0.72005
55,93,0.73351
55,99,0.72396
55,105,0.73134
55,111,0.74609
55,117,0.72873
55,123,0.75043
55,127,0.72786
58,3,0.67405
58,9,0.50651
58,15,0.48264
58,21,0.50434
58,27,0.49696
58,33,0.49696
58,39,0.51302
58,45,0.5395
58,51,0.54427
58,57,0.54861
58,63,0.56033
58,69,0.58333
58,75,0.58984
58,81,0.60503
58,87,0.61111
58,93,0.60937
58,99,0.60286
58,105,0.58203
58,111,0.62457
58,117,0.6046
58,123,0.63455
58,127,0.61459
61,3,0.68056
61,9,0.50043
61,15,0.47483
61,21,0.53212
61,27,0.5829
61,33,0.54905
61,39,0.5408
61,45,0.53646
61,51,0.5651
61,57,0.53819
61,63,0.49826
61,69,0.52083
61,75,0.50391
61,81,0.52908
61,87,0.50955
61,93,0.51215
61,99,0.47049
61,105,0.49696
61,111,0.48828
61,117,0.49088
61,123,0.48958
61,127,0.49219
64,3,0.68533
64,9,0.49436
64,15,0.39193
64,21,0.42014
64,27,0.41146
64,33,0.41927
64,39,0.41233
64,45,0.42361
64,51,0.42535
64,57,0.43056
64,63,0.42925
64,69,0.42752
64,75,0.41059
64,81,0.43359
64,87,0.42318
64,93,0.44488
64,99,0.44922
64,105,0.43576
64,111,0.46267
64,117,0.43837
64,123,0.4375
64,127,0.40495
67,3,0.70139
67,9,0.52083
67,15,0.4375
67,21,0.39193
67,27,0.38889
67,33,0.39714
67,39,0.34679
67,45,0.32682
67,51,0.31467
67,57,0.29427
67,63,0.28385
67,69,0.28472
67,75,0.26302
67,81,0.26823
67,87,0.25955
67,93,0.26389
67,99,0.26866
67,105,0.26345
67,111,0.24957
67,117,0.24783
67,123,0.24739
67,127,0.27213
70,3,0.65972
70,9,0.58941
70,15,0.52561
70,21,0.50825
70,27,0.52778
70,33,0.53602
70,39,0.53689
70,45,0.51042
70,51,0.49045
70,57,0.48871
70,63,0.49088
70,69,0.45096
70,75,0.44357
70,81,0.42882
70,87,0.39757
70,93,0.41276
70,99,0.39323
70,105,0.39757
70,111,0.40538
70,117,0.4145
70,123,0.44444
70,127,0.46615
73,3,0.44054
73,9,0.43359
73,15,0.42752
73,21,0.34418
73,27,0.33073
73,33,0.33247
73,39,0.31858
73,45,0.30729
73,51,0.31076
73,57,0.32812
73,63,0.32465
73,69,0.33507
73,75,0.36285
73,81,0.36068
73,87,0.38672
73,93,0.38281
73,99,0.398
73,105,0.40929
73,111,0.43272
73,117,0.44922
73,123,0.42882
73,127,0.47266
76,3,0.54644
76,9,0.5395
76,15,0.50304
76,21,0.45399
76,27,0.4375
76,33,0.39974
76,39,0.36892
76,45,0.352
76,51,0.3572
76,57,0.35851
76,63,0.38672
76,69,0.39887
76,75,0.42665
76,81,0.43924
76,87,0.46224
76,93,0.45443
76,99,0.48958
76,105,0.48872
76,111,0.47396
76,117,0.47743
76,123,0.47917
76,127,0.46875
79,3,0.62326
79,9,0.5612
79,15,0.50478
79,21,0.43533
79,27,0.43056
79,33,0.37891
79,39,0.35156
79,45,0.36936
79,51,0.36111
79,57,0.34679
79,63,0.37023
79,69,0.38411
79,75,0.38715
79,81,0.40147
79,87,0.41189
79,93,0.42491
79,99,0.40972
79,105,0.42188
79,111,0.41667
