batches,total,value,policy,value_prefix,simsiam
70528,0.28424,0.61855,0.41327,0.303,-0.29333
71040,0.2767,0.60798,0.40001,0.29655,-0.28593
71808,0.25884,0.61367,0.39038,0.30116,-0.29306
72320,0.24492,0.6113,0.37254,0.29879,-0.28961
73088,0.27223,0.60931,0.39865,0.29442,-0.28659
73600,0.29479,0.6287,0.42333,0.31153,-0.29862
74368,0.28373,0.62236,0.41002,0.298,-0.28994
74880,0.24634,0.59847,0.3829,0.29673,-0.29145
75648,0.26517,0.6178,0.39717,0.30106,-0.29375
76160,0.26531,0.62075,0.39971,0.30189,-0.29574
76928,0.24041,0.60029,0.37657,0.29775,-0.29199
77440,0.2615,0.63259,0.39421,0.30452,-0.29769
78208,0.27138,0.62877,0.40245,0.29632,-0.2923
78720,0.2364,0.61017,0.37316,0.29413,-0.29171
79488,0.26794,0.60723,0.40202,0.29719,-0.29154
80000,0.2379,0.61909,0.37435,0.29571,-0.29347
80768,0.25958,0.62665,0.39991,0.30321,-0.3001
81280,0.26812,0.63836,0.39733,0.29997,-0.29439
82048,0.26716,0.62579,0.40098,0.29851,-0.29439
82560,0.25657,0.62338,0.39269,0.29827,-0.29512
83328,0.2747,0.6406,0.40166,0.30275,-0.29493
83840,0.27289,0.63586,0.40451,0.30287,-0.29672
84608,0.28443,0.62183,0.41437,0.30211,-0.29375
85120,0.28436,0.61837,0.41209,0.29758,-0.28995
85888,0.29328,0.63312,0.42058,0.30199,-0.29379
86400,0.2807,0.6348,0.40886,0.30275,-0.29481
87168,0.271,0.63308,0.39587,0.29756,-0.29035
87680,0.28664,0.62618,0.41088,0.29627,-0.28853
88448,0.2737,0.62048,0.40263,0.2968,-0.29043
88960,0.30691,0.64035,0.43705,0.30446,-0.29735
89728,0.28805,0.63194,0.40982,0.29744,-0.2886
90240,0.2517,0.62046,0.38364,0.30142,-0.29423
91008,0.27103,0.63447,0.4038,0.30075,-0.29607
91520,0.2849,0.63847,0.41268,0.30012,-0.29376
92288,0.25687,0.61823,0.38391,0.2956,-0.2886
92800,0.2748,0.62531,0.40429,0.29962,-0.29272
93568,0.27181,0.64261,0.39924,0.30495,-0.29651
94080,0.25511,0.61573,0.38219,0.29015,-0.28558
94848,0.27416,0.59949,0.40961,0.28903,-0.28717
95360,0.24741,0.60849,0.38324,0.29001,-0.28898
96128,0.23425,0.59353,0.37001,0.28579,-0.28497
96640,0.2517,0.61564,0.38898,0.2928,-0.29199
97408,0.24866,0.6032,0.38817,0.29137,-0.29084
97920,0.27146,0.60374,0.41857,0.29464,-0.29635
98688,0.25765,0.60744,0.3924,0.28839,-0.2875
99200,0.25188,0.61287,0.39159,0.29238,-0.29265
99968,0.26057,0.61381,0.399,0.29404,-0.29296
100480,0.2422,0.5924,0.38865,0.28949,-0.29202
101248,0.24607,0.60637,0.39098,0.28831,-0.2924
101760,0.25398,0.61065,0.39011,0.28816,-0.28848
102272,0.24094,0.61499,0.38178,0.28971,-0.29215
