batches,total,value,policy,value_prefix,simsiam
68480,-0.10962,1.02314,0.10869,0.26688,-0.37049
69248,-0.11718,1.04189,0.10738,0.27214,-0.37858
69760,0.03595,1.24656,0.18294,0.28648,-0.37255
70528,-0.11069,1.04537,0.10997,0.27136,-0.37668
71040,-0.0482,1.13569,0.14859,0.27999,-0.38035
71808,-0.11697,1.08423,0.11033,0.28011,-0.38924
72320,-0.11226,0.99665,0.10798,0.26623,-0.36782
73088,-0.07351,1.14995,0.11074,0.26707,-0.3694
73600,-0.09262,1.06229,0.11579,0.26844,-0.37122
74368,-0.06427,1.00565,0.14685,0.2663,-0.36442
74880,-0.11177,0.97179,0.0959,0.25729,-0.35396
75648,0.03753,1.12632,0.19887,0.26368,-0.3533
76160,-0.01787,1.00565,0.19851,0.26151,-0.36465
76928,0.13839,1.17722,0.28922,0.27691,-0.36102
77440,-0.06049,1.06008,0.1278,0.2587,-0.35601
78208,0.0017,1.14798,0.17687,0.27608,-0.36912
78720,-0.09309,1.06949,0.11347,0.26573,-0.36983
79488,-0.06464,1.0965,0.13571,0.26822,-0.37135
80000,-0.0822,1.06776,0.13972,0.27245,-0.38065
80768,-0.06664,1.10512,0.15033,0.27581,-0.38453
81280,-0.08109,1.11154,0.13146,0.27661,-0.38352
82048,-0.06184,1.10483,0.14513,0.27239,-0.37779
82560,-0.04435,1.15399,0.14532,0.27381,-0.37599
83328,-0.07877,1.13314,0.11488,0.27155,-0.37424
83840,-0.08175,1.11563,0.12094,0.27092,-0.37626
84608,-0.06957,1.15037,0.12103,0.27179,-0.37499
85120,-0.06093,1.25769,0.10527,0.26955,-0.37508
85888,-0.04027,1.27623,0.10308,0.26547,-0.36394
86400,-0.0339,1.28509,0.10441,0.26571,-0.36265
87168,-0.04253,1.26751,0.10005,0.27085,-0.36516
87680,-0.04668,1.29352,0.09406,0.27273,-0.36842
88448,-0.04731,1.27243,0.09369,0.274,-0.36655
88960,-0.03324,1.31001,0.09588,0.27481,-0.36572
89728,0.02534,1.27165,0.15923,0.27318,-0.36249
90240,0.02647,1.28398,0.16444,0.2817,-0.37033
91008,0.00542,1.309,0.14715,0.28878,-0.37888
91520,-0.02577,1.31021,0.10843,0.28583,-0.37379
92288,-0.03186,1.3125,0.11059,0.29115,-0.38087
92800,-0.00561,1.34012,0.1293,0.29368,-0.38181
93568,-0.04044,1.30654,0.10024,0.29126,-0.37929
94080,-0.04421,1.3154,0.10449,0.29837,-0.38796
94848,-0.02847,1.35618,0.11083,0.29922,-0.38878
95360,0.01955,1.40143,0.14094,0.31699,-0.39437
96128,-0.05759,1.37506,0.10576,0.31413,-0.41062
96640,-0.06118,1.35243,0.10501,0.31392,-0.40911
97408,-0.05777,1.36288,0.10294,0.30967,-0.40555
97920,-0.06453,1.34695,0.10509,0.31442,-0.41039
98688,-0.06331,1.31074,0.10962,0.30975,-0.40518
99200,-0.06618,1.37736,0.11428,0.32348,-0.42414
99968,-0.07653,1.32424,0.11214,0.32037,-0.42005
100480,-0.01826,1.42838,0.14744,0.3345,-0.42865
101248,-0.07509,1.40148,0.11648,0.33047,-0.4362
101760,-0.08093,1.43212,0.11493,0.33809,-0.44599
102272,-0.07799,1.46222,0.12052,0.34419,-0.45413
